INFO:root:Started: 2022-03-22 11:21:57
INFO:root:las and lasx for calumet 2005: Classified Points; skipping other extensions.
INFO:root:las and lasx for calumet 2005: Bare Earth Points LAS; skipping other extensions.
WARNING:root:More than one extension for calumet 2005: DEM Raster; skipping!
WARNING:root:More than one extension for calumet 2005: DSM Raster; skipping!
INFO:root:las and lasx for clark 2018: Bare Earth Points LAS; skipping other extensions.
INFO:root:las and lasx for dodge 2017: Points Classified LAS; skipping other extensions.
INFO:root:las and lasx for cityOfSuperior 2019: Points Classified LAS; skipping other extensions.
INFO:root:las and lasx for florence 2015: Classified Points LAS; skipping other extensions.
INFO:root:las and lasx for jefferson 2011: Classified Points; skipping other extensions.
WARNING:root:More than one extension for jefferson 2011: Bare Earth Points LAS; skipping!
INFO:root:las and lasx for juneau 2010: Classified Points; skipping other extensions.
INFO:root:las and lasx for kewaunee 2012: Classified Points; skipping other extensions.
INFO:root:las and lasx for pepin 2013: Points Bare Earth LAS; skipping other extensions.
INFO:root:las and lasx for pierce 2015: Classified Points; skipping other extensions.
INFO:root:las and lasx for racine17 2017: Classified Points; skipping other extensions.
INFO:root:las and lasx for trempealeau 2014: Points Classified LAS; skipping other extensions.
INFO:root:las and lasx for wood 2015: Points Bare Earth LAS; skipping other extensions.
INFO:root:las and lasx for wood 2015: Points Classified LAS; skipping other extensions.
INFO:root:Ended: 2022-03-22 11:23:57
INFO:root:Time to complete: 0.0 hours, 1.0 minutes, 59.771795 seconds
